num_of_li,poly_anion,chalcogen,anion_1,anion_2,x_in_a,chal_in_a,x_in_c,chal_in_c,energy(ev),erel(mev/atom),cage_size_x_in_a,cage_size_chal_in_a,cage_size_x_in_c,cage_size_chal_in_c,std_cage_size,avg_cage_size,volume,conductivity,conductivity_min,conductivity_max
28,Si,Te,Te,I,0.75,0.25,0.25,0.75,-189.8505087,11.87768,3.052236536,2.925174111,2.864502549,2.877281931,0.074219285,2.929798782,1580.48649,214.407079,146.118403,314.61058
28,Si,Te,Te,I,0.5,0.5,0.5,0.5,-189.7454627,13.89779596,2.876420024,2.902698985,2.937808518,2.89311441,0.022444293,2.902510484,1554.68403,84.145144,64.498635,109.776047
28,Si,Te,Te,I,0.5,0.5,0.5,0.5,-189.0911289,26.48113769,2.928309957,2.900325457,3.016316512,2.950202113,0.042807908,2.94878851,1613.119143,244.887231,162.018599,370.141183
28,Si,Te,Te,I,0.25,0.75,0.75,0.25,-189.5827337,17.02719962,2.903457105,2.872175638,2.939497259,2.862277229,0.03017275,2.894351807,1560.43895,199.04294,143.756902,275.590886
28,Si,Te,Te,I,0,1,1,0,-189.8513784,11.86095538,2.907931545,2.907931545,2.980022388,2.980022388,0.036045422,2.943976967,1588.461152,122.006511,77.75296,191.447229
28,Sn,Se,Se,Br,1,0,0,1,-205.7533361,0,2.733166488,2.733166488,2.760803236,2.760803236,0.013818374,2.746984862,1358.635962,36.008085,26.202164,49.483784
28,Sn,Se,Se,Br,0.75,0.25,0.25,0.75,-205.3582253,7.598284038,2.796134032,2.798705235,2.789215273,2.684860231,0.047681927,2.767228693,1357.134976,14.928298,8.97486,24.830926
28,Sn,Se,Se,Br,0.5,0.5,0.5,0.5,-205.2321701,10.02242308,2.666973861,2.723760206,2.743944267,2.671981282,0.033016408,2.701664904,1358.710764,7.390749,4.012235,13.61415
28,Sn,Se,Se,Br,0.5,0.5,0.5,0.5,-205.1002521,12.55930615,2.853970445,2.68538214,2.856848322,2.650934291,0.094419897,2.7617838,1350.955156,1.527566,0.921474,2.532312
28,Sn,Se,Se,Br,0.25,0.75,0.75,0.25,-204.8464726,17.4396825,2.557459768,2.751298124,2.66384879,2.620902304,0.070450224,2.648377246,1341.509078,3.902066,2.287061,6.657503
28,Sn,Se,Se,Br,0,1,1,0,-204.7163101,19.94280596,2.683429281,2.683429281,2.892314703,2.892314703,0.104442711,2.787871992,1332.33451,9.415887,7.58267,11.69231
28,Ge,Se,Se,Br,1,0,0,1,-208.4858336,0,2.879293577,2.879293577,2.695881215,2.695881215,0.091706181,2.787587396,1281.908254,97.399046,74.090035,128.041162
28,Ge,Se,Se,Br,0.75,0.25,0.25,0.75,-207.9346702,10.59929769,2.766754564,2.734281728,2.902866557,2.652263079,0.090360136,2.764041482,1249.221469,73.41325,52.998911,101.690868
28,Ge,Se,Se,Br,0.5,0.5,0.5,0.5,-207.8397451,12.42477885,2.852765968,2.673782383,2.776853453,2.692890921,0.071325115,2.749073181,1261.601181,103.412251,69.434527,154.016944
28,Ge,Se,Se,Br,0.5,0.5,0.5,0.5,-207.6750733,15.59154538,2.713519749,2.783874371,2.821448411,2.704317451,0.04882611,2.755789995,1266.021439,40.635138,24.267684,68.041696
28,Ge,Se,Se,Br,0.25,0.75,0.75,0.25,-207.5421163,18.14840962,2.761638306,2.651855869,2.760562624,2.666638351,0.05119557,2.710173787,1268.344344,62.063927,29.652862,129.900819
28,Ge,Se,Se,Br,0,1,1,0,-207.3375482,22.08241135,2.656476583,2.656476583,2.735946606,2.735946606,0.039735011,2.696211595,1254.201761,29.241811,20.376384,41.964439
28,Ge,S,S,Cl,1,0,0,1,-228.1417036,0,2.713395891,2.713395891,2.533904862,2.533904862,0.089745515,2.623650377,1100.048428,124.741525,86.141958,180.637269
28,Ge,S,S,Cl,0.75,0.25,0.25,0.75,-227.757132,7.395607885,2.756736394,2.61548978,2.466402785,2.530549866,0.108674147,2.592294706,1086.160202,26.36233,16.572192,41.936059
28,Ge,S,S,Cl,0.5,0.5,0.5,0.5,-227.4298779,13.6889575,2.607110638,2.577144422,2.60144444,2.575639595,0.014095992,2.590334774,1095.196582,61.606299,42.159335,90.023623
28,Ge,S,S,Cl,0.5,0.5,0.5,0.5,-227.302079,16.14662788,2.767430327,2.649555424,2.698577192,2.478920384,0.106548639,2.648620832,1082.626818,63.362508,47.892826,83.828992
28,Ge,S,S,Cl,0.25,0.75,0.75,0.25,-227.5037818,12.26772769,2.610979087,2.553983075,2.536652578,2.533151829,0.031201562,2.558691642,1059.051979,18.745786,13.535615,25.96147
28,Ge,S,S,Cl,0,1,1,0,-226.7578176,26.61319404,2.520037318,2.520037318,2.556416289,2.556416289,0.018189485,2.538226803,1070.36057,20.212025,15.34502,26.622707
28,Si,S,S,Cl,1,0,0,1,-236.6278079,0,2.851218675,2.851218675,2.53305237,2.53305237,0.159083153,2.692135523,1067.815252,40.199794,27.78293,58.166054
28,Si,S,S,Cl,0.75,0.25,0.25,0.75,-236.1460435,9.264700577,2.794389245,2.641805114,2.685143467,2.561319532,0.084122885,2.670664339,1066.370333,43.572966,32.801952,57.880805
28,Si,S,S,Cl,0.5,0.5,0.5,0.5,-236.1271828,9.627404808,2.717993981,2.609908192,2.574599443,2.555008019,0.062974953,2.614377409,1049.465381,64.875106,34.096627,123.436824
28,Si,S,S,Cl,0.5,0.5,0.5,0.5,-235.6785374,18.25520154,2.740174464,2.534805685,2.74484659,2.58800658,0.092499843,2.65195833,1057.6873,70.9572,42.509654,118.441901
28,Si,S,S,Cl,0.25,0.75,0.75,0.25,-236.035363,11.39317115,2.514398093,2.545485716,2.599253207,2.523630508,0.03291984,2.545691881,1025.702948,30.972716,19.053276,50.348776
28,Si,S,S,Cl,0,1,1,0,-235.2106682,27.25268596,2.511156156,2.511156156,2.539581046,2.539581046,0.014212445,2.525368601,1036.546492,69.030263,58.613561,81.298204
28,Ge,S,S,Br,1,0,0,1,-225.7608142,9.630303846,2.88949538,2.88949538,2.51691905,2.51691905,0.186288165,2.703207215,1107.40893,80.629725,62.109013,104.673255
