,composition,num_of_li,4b_1,4b_2,4b_3,4b_4,16e,4a_1,4a_2,4a_3,4a_4,4c_1,4c_2,4c_3,4c_4,volume,conductivity
148,Li28Sn4S20Br4,28,Sn,Sn,Sn,Sn,S,S,S,Br,Br,S,S,Br,Br,1190.6089239979171,5.754193179530151
149,Li28Sn4S20Br4,28,Sn,Sn,Sn,Sn,S,S,S,Br,Br,S,S,Br,Br,1183.9912671117029,9.367155847279816
150,Li28Sn4S20Br4,28,Sn,Sn,Sn,Sn,S,S,Br,Br,Br,S,S,S,Br,1199.0471256350982,2.9659666980534043
151,Li28Sn4S20Br4,28,Sn,Sn,Sn,Sn,S,Br,Br,Br,Br,S,S,S,S,1181.6380454109647,25.11251037805224
152,Li28Sn4S20Cl4,28,Sn,Sn,Sn,Sn,S,S,S,S,S,Cl,Cl,Cl,Cl,1203.8506892720463,9.98031739878542
153,Li28Sn4S20Cl4,28,Sn,Sn,Sn,Sn,S,S,S,S,Cl,S,Cl,Cl,Cl,1180.1797754013583,4.379673974457572
154,Li28Sn4S20Cl4,28,Sn,Sn,Sn,Sn,S,S,S,Cl,Cl,S,S,Cl,Cl,1174.4577952356778,1.0868407372114317
155,Li28Sn4S20Cl4,28,Sn,Sn,Sn,Sn,S,S,S,Cl,Cl,S,S,Cl,Cl,1200.0419076585047,12.608714908847176
156,Li28Sn4S20Cl4,28,Sn,Sn,Sn,Sn,S,S,Cl,Cl,Cl,S,S,S,Cl,1189.7981648957439,15.579492071369845
157,Li28Sn4S20Cl4,28,Sn,Sn,Sn,Sn,S,Cl,Cl,Cl,Cl,S,S,S,S,1167.4590676223947,8.389468161602469
158,Li28Sn4S20I4,28,Sn,Sn,Sn,Sn,S,S,S,S,S,I,I,I,I,1184.4506017045953,115.42867992800949
159,Li28Sn4S20I4,28,Sn,Sn,Sn,Sn,S,S,S,S,I,S,I,I,I,1186.589366303543,40.236157894627105
160,Li28Sn4S20I4,28,Sn,Sn,Sn,Sn,S,S,S,I,I,S,S,I,I,1212.6317799629553,22.08517287063105
161,Li28Sn4S20I4,28,Sn,Sn,Sn,Sn,S,S,S,I,I,S,S,I,I,1208.0393262337927,28.99555066943479
162,Li28Sn4S20I4,28,Sn,Sn,Sn,Sn,S,S,I,I,I,S,S,S,I,1209.5657649172908,6.79193329059841
163,Li28Sn4S20I4,28,Sn,Sn,Sn,Sn,S,I,I,I,I,S,S,S,S,1193.1663867772322,17.757821583169086
164,Li28Sn4Se20Br4,28,Sn,Sn,Sn,Sn,Se,Se,Se,Se,Se,Br,Br,Br,Br,1332.3345130097573,9.41588730005609
165,Li28Sn4Se20Br4,28,Sn,Sn,Sn,Sn,Se,Se,Se,Se,Br,Se,Br,Br,Br,1341.509039442362,3.9020660495096777
166,Li28Sn4Se20Br4,28,Sn,Sn,Sn,Sn,Se,Se,Se,Br,Br,Se,Se,Br,Br,1358.7107649610211,7.390748635681374
167,Li28Sn4Se20Br4,28,Sn,Sn,Sn,Sn,Se,Se,Se,Br,Br,Se,Se,Br,Br,1350.9551734029128,1.5275664824425026
168,Li28Sn4Se20Br4,28,Sn,Sn,Sn,Sn,Se,Se,Br,Br,Br,Se,Se,Se,Br,1357.134932774918,14.928297686775954
169,Li28Sn4Se20Br4,28,Sn,Sn,Sn,Sn,Se,Br,Br,Br,Br,Se,Se,Se,Se,1358.6359424741424,36.008085330701824
